User|Group|JobID|ReqTRES|Timelimit|Submit|NodeList|Start|End|Elapsed|State|ExitCode
rm3395|astro|55407686|billing=20,cpu=16,gres/gpu=16,mem=262144M,node=4|01:00:00|2024-04-04T10:18:00|della-l07g7,della-l08g[3-5]|2024-04-04T21:23:16|2024-04-04T22:27:35|01:04:19|COMPLETED|0:0
|4294967294|55407686.extern|||2024-04-04T21:23:16|della-l07g7,della-l08g[3-5]|2024-04-04T21:23:16|2024-04-04T22:27:35|01:04:19|COMPLETED|0:0
|4294967294|55407686.0|||2024-04-04T21:23:18|della-l07g7,della-l08g[3-5]|2024-04-04T21:23:18|2024-04-04T22:27:35|01:04:17|COMPLETED|0:0
rm3395|astro|55407687|billing=20,cpu=16,gres/gpu=16,mem=262144M,node=4|01:00:00|2024-04-04T10:18:00|della-l07g7,della-l08g[3-5]|2024-04-04T22:27:48|2024-04-04T23:31:42|01:03:54|COMPLETED|0:0
|4294967294|55407687.extern|||2024-04-04T22:27:48|della-l07g7,della-l08g[3-5]|2024-04-04T22:27:48|2024-04-04T23:31:42|01:03:54|COMPLETED|0:0
|4294967294|55407687.0|||2024-04-04T22:27:49|della-l07g7,della-l08g[3-5]|2024-04-04T22:27:49|2024-04-04T23:31:42|01:03:53|COMPLETED|0:0
fcastro|mae|55420330|billing=1,cpu=1,gres/gpu=1,mem=4000M,node=1|01:00:00|2024-04-04T18:14:19|della-l08g5|2024-04-04T18:15:13|2024-04-04T19:12:42|00:57:29|COMPLETED|0:0
|4294967294|55420330.batch|||2024-04-04T18:15:13|della-l08g5|2024-04-04T18:15:13|2024-04-04T19:12:42|00:57:29|COMPLETED|0:0
|4294967294|55420330.extern|||2024-04-04T18:15:13|della-l08g5|2024-04-04T18:15:13|2024-04-04T19:12:42|00:57:29|COMPLETED|0:0
yanliang|astro|55421937|billing=1,cpu=1,gres/gpu=1,mem=5120M,node=1|00:55:00|2024-04-04T18:39:44|della-l08g5|2024-04-04T18:40:34|2024-04-04T19:40:48|01:00:14|TIMEOUT|0:0
|4294967294|55421937.batch|||2024-04-04T18:40:34|della-l08g5|2024-04-04T18:40:34|2024-04-04T19:40:49|01:00:15|CANCELLED|0:15
|4294967294|55421937.extern|||2024-04-04T18:40:34|della-l08g5|2024-04-04T18:40:34|2024-04-04T19:40:48|01:00:14|COMPLETED|0:0
tx0973|ee|55422356|billing=10,cpu=8,gres/gpu=2,mem=131072M,node=1|01:00:00|2024-04-04T18:53:35|della-l08g5|2024-04-04T18:54:29|2024-04-04T18:56:52|00:02:23|CANCELLED by 331630|0:0
|4294967294|55422356.batch|||2024-04-04T18:54:29|della-l08g5|2024-04-04T18:54:29|2024-04-04T18:56:55|00:02:26|CANCELLED|0:15
|4294967294|55422356.extern|||2024-04-04T18:54:29|della-l08g5|2024-04-04T18:54:29|2024-04-04T18:56:52|00:02:23|COMPLETED|0:0
mg2332|cs|55423833|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:11:24|della-l08g5|2024-04-04T19:13:11|2024-04-04T19:15:24|00:02:13|COMPLETED|0:0
|4294967294|55423833.batch|||2024-04-04T19:13:11|della-l08g5|2024-04-04T19:13:11|2024-04-04T19:15:24|00:02:13|COMPLETED|0:0
|4294967294|55423833.extern|||2024-04-04T19:13:11|della-l08g5|2024-04-04T19:13:11|2024-04-04T19:15:24|00:02:13|COMPLETED|0:0
mg2332|cs|55423835|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:11:41|della-l08g5|2024-04-04T19:13:11|2024-04-04T19:16:09|00:02:58|COMPLETED|0:0
|4294967294|55423835.batch|||2024-04-04T19:13:11|della-l08g5|2024-04-04T19:13:11|2024-04-04T19:16:09|00:02:58|COMPLETED|0:0
|4294967294|55423835.extern|||2024-04-04T19:13:11|della-l08g5|2024-04-04T19:13:11|2024-04-04T19:16:09|00:02:58|COMPLETED|0:0
mg2332|cs|55423980|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:19:38|della-l08g5|2024-04-04T19:20:02|2024-04-04T19:22:09|00:02:07|COMPLETED|0:0
|4294967294|55423980.batch|||2024-04-04T19:20:02|della-l08g5|2024-04-04T19:20:02|2024-04-04T19:22:09|00:02:07|COMPLETED|0:0
|4294967294|55423980.extern|||2024-04-04T19:20:02|della-l08g5|2024-04-04T19:20:02|2024-04-04T19:22:09|00:02:07|COMPLETED|0:0
mg2332|cs|55423982|billing=1,cpu=1,gres/gpu=1,mem=16384M,node=1|00:31:00|2024-04-04T19:19:55|della-l08g5|2024-04-04T19:20:02|2024-04-04T19:22:54|00:02:52|COMPLETED|0:0
|4294967294|55423982.batch|||2024-04-04T19:20:02|della-l08g5|2024-04-04T19:20:02|2024-04-04T19:22:54|00:02:52|COMPLETED|0:0
|4294967294|55423982.extern|||2024-04-04T19:20:02|della-l08g5|2024-04-04T19:20:02|2024-04-04T19:22:55|00:02:53|COMPLETED|0:0
